,City,Temperature,Humidity,Clouds,Wind,Longitude,Latitude
0,Sitka,7.22,87,0,1.34,-99.65,37.17
1,Zhigansk,-23.17,68,0,1.22,123.37,66.77
2,Magdalena,30.0,74,75,3.1,-64.05,-13.26
3,Micheweni,28.73,100,0,5.47,39.83,-4.97
4,Ostrovnoy,-1.87,96,88,9.27,39.51,68.05
5,Ushuaia,7.0,75,75,7.7,-68.31,-54.81
6,Upernavik,-14.57,100,76,10.37,-56.15,72.79
7,Carrefour,27.44,69,75,3.6,-72.41,18.53
8,Hilo,17.91,72,90,2.1,-155.08,19.71
9,Airai,21.23,91,8,0.77,125.41,-8.93
10,Cape Town,19.72,64,20,11.8,18.42,-33.93
11,Avera,20.04,56,1,3.6,-82.53,33.19
12,Chokurdakh,-23.42,53,56,1.32,147.9,70.62
13,Hobart,10.11,61,40,6.7,147.33,-42.88
14,Albany,2.68,25,20,2.82,-73.75,42.65
15,Tuktoyaktuk,-9.0,92,90,1.0,-133.03,69.44
16,Norman Wells,-1.0,100,90,1.0,-126.83,65.28
17,Sao Miguel do Araguaia,24.28,100,92,1.82,-50.16,-13.28
18,Rikitea,25.98,100,44,4.67,-134.97,-23.12
19,Mataura,20.0,77,92,8.07,168.86,-46.19
20,Hermanus,19.27,79,80,1.79,19.24,-34.42
21,Hienghene,26.33,100,44,8.57,164.93,-20.68
22,Nikolskoye,4.14,64,40,3.0,30.79,59.7
23,Punta Arenas,10.85,85,20,14.9,-70.91,-53.16
24,Qaanaaq,-26.57,66,0,1.07,-69.36,77.48
25,Le Port,14.71,7,20,8.7,1.37,42.87
26,Ancud,13.0,66,0,7.2,-73.83,-41.87
27,Megion,2.0,59,0,4.0,76.11,61.04
28,Kahului,18.11,77,75,2.1,-156.47,20.89
29,Coihaique,9.01,76,40,2.6,-72.07,-45.58
30,Saint-Pierre,11.23,43,0,9.8,4.24,48.95
31,Yumen,3.38,52,32,3.57,97.04,40.29
32,Goderich,-0.8,45,0,1.79,-81.71,43.74
33,East London,20.0,88,40,5.1,27.91,-33.02
34,Necochea,16.11,51,92,2.68,-58.74,-38.55
35,Port Alfred,19.44,96,92,1.34,26.89,-33.59
36,Klaksvik,7.0,87,92,3.1,-6.59,62.23
